epoch,train_loss,val_auc,time_sec
0,0.687591,0.716549,4.73
1,0.54024,0.786912,3.75
2,0.499534,0.81981,3.84
3,0.480037,0.820667,3.73
4,0.464436,0.850639,3.74
5,0.430832,0.840148,3.8
6,0.392699,0.868051,3.75
7,0.402424,0.869621,3.82
8,0.388262,0.868122,3.7
9,0.383335,0.869835,3.62
10,0.34955,0.883109,3.61
11,0.363263,0.88111,3.73
12,0.343966,0.852209,3.7
13,0.342306,0.874759,3.87
14,0.331855,0.863841,3.92
15,0.312663,0.876472,4.01
16,0.319777,0.869621,3.92
17,0.289845,0.887676,3.68
18,0.28804,0.905944,3.48
19,0.266867,0.877614,3.51
20,0.278816,0.880682,3.55
21,0.285867,0.862984,3.6
22,0.258016,0.859844,3.69
23,0.214937,0.884464,3.63
24,0.232886,0.868265,3.63
25,0.213314,0.894955,3.73
26,0.230721,0.887818,3.64
27,0.203518,0.8769,3.65
28,0.187193,0.902162,3.7
