model,task,fold,params_M,gflops,latency_ms,mae,qwk,acc_within_1
mobilenetv3_small,ordinal,0,0.928,0.010531922,5.14817800372839,0.7690839520979591,0.316720020218188,0.8727634194831014
mobilenetv3_small,ordinal,1,0.928,0.010531922,5.14817800372839,0.759862223437413,0.3508913895562018,0.8756476683937824
mobilenetv3_small,ordinal,2,0.928,0.010531922,5.14817800372839,0.8390418814666218,0.30178587850140703,0.8411910669975186
mobilenetv3_small,ordinal,3,0.928,0.010531922,5.14817800372839,0.709106980937801,0.46708237485979354,0.906392694063927
mobilenetv3_small,ordinal,4,0.928,0.010531922,5.14817800372839,0.8097810380014718,0.28243234330687894,0.8504901960784313
efficientnet_b0,ordinal,0,4.009,0.067934194,10.576685993000865,0.7587115055998087,0.4638403337714738,0.8846918489065606
efficientnet_b0,ordinal,1,4.009,0.067934194,10.576685993000865,0.7428995460426252,0.46147675351400363,0.8756476683937824
efficientnet_b0,ordinal,2,4.009,0.067934194,10.576685993000865,0.8270648006469973,0.43891144613044486,0.8635235732009926
efficientnet_b0,ordinal,3,4.009,0.067934194,10.576685993000865,0.7941964776276453,0.39996567996568,0.860730593607306
efficientnet_b0,ordinal,4,4.009,0.067934194,10.576685993000865,0.7594350374248975,0.4874706342991386,0.9019607843137255
densenet121,ordinal,0,6.955,0.473278466,15.148844001814723,0.5978695532199639,0.6010359939205148,0.9363817097415507
densenet121,ordinal,1,6.955,0.473278466,15.148844001814723,0.5541263676677961,0.6831417955586279,0.9533678756476683
densenet121,ordinal,2,6.955,0.473278466,15.148844001814723,0.6099658537443459,0.636940308903976,0.9255583126550868
densenet121,ordinal,3,6.955,0.473278466,15.148844001814723,0.6200137394203987,0.5448158361582913,0.9223744292237442
densenet121,ordinal,4,6.955,0.473278466,15.148844001814723,0.5728037710867676,0.5984384598616809,0.9313725490196079
resnet50,ordinal,0,23.51,0.674353154,9.335714001208544,0.574146956975607,0.5974155518136499,0.9502982107355865
resnet50,ordinal,1,23.51,0.674353154,9.335714001208544,0.5725636960928921,0.6673180127431206,0.9559585492227979
resnet50,ordinal,2,23.51,0.674353154,9.335714001208544,0.6063473953798451,0.6122687261306451,0.9354838709677419
resnet50,ordinal,3,23.51,0.674353154,9.335714001208544,0.6250282686594959,0.5552251255734673,0.9315068493150684
resnet50,ordinal,4,23.51,0.674353154,9.335714001208544,0.5948277586231044,0.6289288983826671,0.9264705882352942
vgg16,ordinal,0,14.715,2.514215938,7.157966000959277,0.5032566276269689,0.6491808294748398,0.94831013916501
vgg16,ordinal,1,14.715,2.514215938,7.157966000959277,0.47782451284981764,0.7339542077127392,0.9689119170984456
vgg16,ordinal,2,14.715,2.514215938,7.157966000959277,0.5911026181417423,0.6195823391785772,0.9181141439205955
vgg16,ordinal,3,14.715,2.514215938,7.157966000959277,0.5945632493114907,0.574053680905968,0.9223744292237442
vgg16,ordinal,4,14.715,2.514215938,7.157966000959277,0.5568363397729164,0.6393155893536122,0.9362745098039216
vit_base,ordinal,0,85.799,35.210825762,61.84207199141383,0.5351139273842571,0.6187192345912967,0.9403578528827038
vit_base,ordinal,1,85.799,35.210825762,61.84207199141383,0.5071076712151266,0.6940605340070342,0.961139896373057
vit_base,ordinal,2,85.799,35.210825762,61.84207199141383,0.5735839143876107,0.6342599410267914,0.9429280397022333
vit_base,ordinal,3,85.799,35.210825762,61.84207199141383,0.7316517410757335,0.4309178919124712,0.8767123287671232
vit_base,ordinal,4,85.799,35.210825762,61.84207199141383,0.532255438320777,0.6634617200929371,0.9485294117647058
