feature,mean_abs_shap
original_shape_LeastAxisLength,0.78272927
wavelet-LLL_glcm_Imc1,0.68821883
original_shape_Maximum2DDiameterSlice,0.6283655
wavelet-HHH_glrlm_RunLengthNonUniformity,0.610186
wavelet-LHL_glszm_GrayLevelNonUniformity,0.4646338
log-sigma-3-0-mm-3D_ngtdm_Coarseness,0.36497402
wavelet-HHH_gldm_DependenceNonUniformity,0.36210236
wavelet-HHH_ngtdm_Coarseness,0.34683368
wavelet-HLL_glszm_GrayLevelNonUniformity,0.32341948
log-sigma-2-0-mm-3D_glszm_GrayLevelNonUniformity,0.32132617
wavelet-LLL_glrlm_LongRunLowGrayLevelEmphasis,0.22731371
log-sigma-3-0-mm-3D_gldm_SmallDependenceLowGrayLevelEmphasis,0.22683261
wavelet-HLL_firstorder_Energy,0.2089886
wavelet-LLH_ngtdm_Coarseness,0.19172186
log-sigma-1-0-mm-3D_glszm_GrayLevelNonUniformity,0.18756944
original_glszm_GrayLevelNonUniformity,0.14957534
log-sigma-1-0-mm-3D_gldm_GrayLevelNonUniformity,0.12648895
original_shape_SurfaceVolumeRatio,0.124606684
original_gldm_GrayLevelNonUniformity,0.118418775
original_glrlm_GrayLevelNonUniformity,0.11763583
log-sigma-1-0-mm-3D_ngtdm_Coarseness,0.11167887
wavelet-LHL_ngtdm_Coarseness,0.10850909
original_shape_MinorAxisLength,0.10392476
wavelet-LLL_gldm_SmallDependenceLowGrayLevelEmphasis,0.08795093
wavelet-HLH_ngtdm_Coarseness,0.027467133
